calories,distance,duration,start_time,end_time,steps,avg_pace,data_training
524,7076,2411,09:05:08,09:45:20,5682,0.34,2023-04-16
566,7113,2432,18:21:54,19:02:27,5829,0.34,2023-04-16
510,7001,3648,16:10:51,16:52:05,5476,0.52,2023-04-17
286,4033,1299,08:48:44,09:11:26,3224,0.32,2023-04-19
500,6915,2294,17:27:49,18:06:35,5809,0.33,2023-04-19
526,7159,2339,08:39:34,09:18:34,5937,0.33,2023-04-20
496,6504,2172,18:03:26,18:44:30,5482,0.33,2023-04-20
521,7139,2321,08:34:02,09:13:08,5980,0.33,2023-04-21
533,7148,2375,08:15:14,08:54:52,5991,0.33,2023-04-22
560,7097,2252,08:06:56,08:44:36,5636,0.32,2023-04-23
267,3628,1204,15:15:38,15:38:03,3053,0.33,2023-04-23
487,6332,2239,08:27:52,09:05:11,5652,0.35,2023-04-24
511,7186,2308,20:21:06,20:59:33,6119,0.32,2023-04-24
542,7146,2386,08:03:38,08:43:24,6344,0.33,2023-04-26
538,7169,2372,19:17:24,19:57:31,6085,0.33,2023-04-26
423,7181,2678,20:41:11,21:25:50,6847,0.37,2023-04-27
523,6900,2446,15:37:12,16:22:48,6374,0.35,2023-04-30
402,4828,1754,19:55:00,20:24:14,4567,0.36,2023-04-30
577,7200,3549,13:50:06,14:52:16,7148,0.49,2023-05-03
582,7159,2427,11:57:59,12:38:51,6155,0.34,2023-05-09
515,7168,2367,20:29:30,21:09:00,6248,0.33,2023-05-11
528,7158,2252,11:04:33,11:42:05,5965,0.31,2023-05-13
521,7141,2196,09:38:54,10:15:30,5912,0.31,2023-05-14
516,7148,2172,18:31:19,19:07:30,5775,0.3,2023-05-14
516,7130,2182,15:38:30,16:14:56,5854,0.31,2023-05-15
266,3824,1222,20:20:50,20:41:12,3171,0.32,2023-05-15
516,7133,2134,21:15:55,21:51:29,5666,0.3,2023-05-16
320,4435,1423,08:23:44,08:47:27,3795,0.32,2023-05-17
494,7164,2129,19:53:16,20:28:45,5618,0.3,2023-05-17
495,7162,2164,08:26:54,09:02:58,5892,0.3,2023-05-20
674,10023,2951,19:25:25,20:14:36,8101,0.29,2023-05-21
669,9031,3032,10:09:32,11:00:44,7907,0.34,2023-05-22
681,10016,2994,20:46:19,21:36:14,8330,0.3,2023-05-22
222,3255,1026,21:00:18,21:17:24,2779,0.32,2023-05-23
672,10021,2898,19:35:34,20:23:52,8213,0.29,2023-05-24
576,8407,2740,20:18:44,21:12:39,7144,0.33,2023-05-25
706,9939,3507,08:43:59,09:46:30,9183,0.35,2023-05-28
715,10024,3038,20:09:46,21:03:04,8489,0.3,2023-05-28
730,10014,3425,11:29:15,12:26:20,8932,0.34,2023-05-29
691,10022,2973,19:20:52,20:10:33,7719,0.3,2023-05-31
672,10014,3000,20:41:05,21:31:22,7950,0.3,2023-06-01
760,10222,3162,20:59:59,21:56:25,8218,0.31,2023-06-04
683,10017,2964,13:10:54,14:00:18,7674,0.3,2023-06-06
693,10019,2839,20:30:44,21:18:02,7463,0.28,2023-06-07
692,10022,2881,20:07:56,20:55:58,7553,0.29,2023-06-08
810,10014,3678,20:49:06,21:50:25,8446,0.37,2023-06-18
808,10011,3519,12:09:35,13:08:14,8355,0.35,2023-06-20
671,8809,2763,17:06:25,17:58:00,6874,0.31,2023-06-21
799,10006,2979,19:33:34,20:23:13,6940,0.3,2023-06-22
738,10016,2913,18:02:23,18:50:57,7517,0.29,2023-06-25
718,10020,3020,19:28:08,20:18:28,7699,0.3,2023-06-26
705,10014,2949,18:03:15,18:52:24,7655,0.29,2023-06-28
801,10011,2974,18:56:43,19:46:17,6940,0.3,2023-07-01
805,10012,3154,20:42:41,21:35:16,6940,0.32,2023-07-02
800,10012,2837,20:20:44,21:08:02,6940,0.28,2023-07-04
295,3938,1231,15:26:43,16:00:52,6940,0.31,2023-07-06
800,10016,2863,20:45:17,21:33:01,6940,0.29,2023-07-08
505,6663,2174,21:02:05,21:43:43,5526,0.33,2023-07-13
696,10015,2924,20:57:24,21:46:08,7783,0.29,2023-07-16
671,10014,2864,21:16:43,22:04:39,7746,0.29,2023-07-17
330,4034,2557,19:02:31,19:50:06,5337,0.63,2023-07-22
727,10020,3166,20:09:58,21:02:45,8302,0.32,2023-07-29
712,10013,3066,20:30:04,21:21:10,8063,0.31,2023-07-30
737,10014,2896,20:22:39,21:10:55,7463,0.29,2023-08-01
678,10010,2807,18:10:23,18:57:10,7301,0.28,2023-08-03
597,8406,2589,19:16:47,19:59:56,6608,0.31,2023-08-06
682,10019,2743,20:24:11,21:09:54,7276,0.27,2023-08-08
723,10030,2932,19:34:54,20:23:47,7639,0.29,2023-08-10
725,10024,2760,20:06:08,20:52:08,7452,0.28,2023-08-13
707,9764,2766,19:42:17,20:28:24,7358,0.28,2023-08-15
719,10026,2773,19:20:12,20:06:26,7358,0.28,2023-08-16
535,7191,2106,20:00:46,20:36:22,5540,0.29,2023-08-20
772,10014,2851,19:26:39,20:14:24,7542,0.28,2023-08-23
796,10001,2685,19:23:20,20:08:05,6940,0.27,2023-08-24
799,10029,2762,19:33:24,20:19:26,6940,0.28,2023-08-27
796,10022,2883,19:12:38,20:00:42,6940,0.29,2023-08-29
727,10020,2816,19:38:01,20:24:57,7573,0.28,2023-09-03
716,10008,2760,19:16:39,20:02:39,7473,0.28,2023-09-05
719,10008,2801,18:51:50,19:39:17,7421,0.28,2023-09-06
566,8479,2563,18:08:25,18:52:11,6652,0.3,2023-09-08
723,10026,2898,17:29:31,18:17:50,7599,0.29,2023-09-12
671,10008,2778,18:09:35,18:56:00,7365,0.28,2023-09-13
719,10006,2874,18:16:32,19:04:27,7661,0.29,2023-09-17
661,8377,2840,17:48:45,18:36:07,6940,0.34,2023-09-21
678,10022,2791,18:40:33,19:27:04,7307,0.28,2023-09-24
653,10005,2757,17:30:49,18:16:47,7147,0.28,2023-09-26
694,10028,2815,17:19:22,18:06:17,7432,0.28,2023-09-28
535,7503,2238,17:22:08,17:59:26,5824,0.3,2023-10-03
710,10019,2766,17:32:45,18:18:52,7220,0.28,2023-10-04
672,10014,2747,17:59:46,18:45:33,7335,0.27,2023-10-08
797,10033,2857,16:48:31,17:36:30,6940,0.28,2023-10-10
730,10038,2760,17:16:23,18:02:23,7494,0.27,2023-10-15
797,10018,2840,13:00:31,13:47:51,6940,0.28,2023-10-29
731,10016,2918,09:16:52,10:05:30,7310,0.29,2023-10-30
662,10021,2778,08:33:43,09:20:01,7348,0.28,2023-11-01
624,8282,2826,09:21:17,10:09:45,7353,0.34,2023-11-04
736,10021,3282,13:47:52,14:42:33,7972,0.33,2023-11-07
684,10041,2940,11:26:07,12:15:07,7521,0.29,2023-11-10
798,10019,2731,13:01:36,13:47:07,6940,0.27,2023-11-12
714,10013,3081,12:21:31,13:13:07,7689,0.31,2023-11-14
645,10088,2848,12:36:06,13:23:37,7411,0.28,2023-11-21
484,5695,2821,08:54:40,09:51:02,7127,0.5,2023-11-22
704,10021,2792,09:26:30,10:16:26,7255,0.28,2023-11-26
744,10014,2865,12:32:40,13:20:25,7468,0.29,2023-11-28
704,10015,2852,15:11:14,15:58:46,7445,0.28,2023-11-30
763,10018,2914,13:24:35,14:13:09,7536,0.29,2023-12-04
769,10031,3143,14:25:31,15:17:53,7852,0.31,2023-12-07
764,10033,3020,09:32:17,10:22:38,7853,0.3,2023-12-13
742,10023,2804,11:03:40,11:50:25,7495,0.28,2023-12-19
754,10024,2875,14:19:23,15:07:18,7598,0.29,2023-12-24
749,10025,2933,14:29:38,15:18:31,7651,0.29,2023-12-26
798,10023,2800,15:12:49,15:59:30,6940,0.28,2023-12-29
513,10017,2817,15:10:01,15:56:58,7627,0.28,2023-12-31
737,10017,2970,14:24:05,15:13:36,7719,0.3,2024-01-04
568,7616,2333,13:45:00,14:23:54,6068,0.31,2024-01-10
576,7230,2178,17:06:13,17:42:31,6940,0.3,2024-01-28
473,6621,2019,16:22:38,16:56:18,5139,0.3,2024-01-30
797,10027,2983,15:03:50,15:53:44,6940,0.3,2024-02-02
751,10025,2881,13:59:12,14:47:23,7597,0.29,2024-02-13
732,9786,2795,16:04:27,16:51:01,7393,0.29,2024-02-15
736,10025,2968,15:03:01,15:52:30,7880,0.3,2024-02-18
847,10041,3315,13:38:30,14:33:54,8403,0.33,2024-02-24
759,10021,2939,14:05:58,14:54:57,7656,0.29,2024-02-25
801,10039,3010,15:24:30,16:14:41,7753,0.3,2024-03-01
842,10032,3036,16:37:27,17:28:03,6940,0.3,2024-03-03
548,7166,2173,16:58:00,17:34:15,5594,0.3,2024-03-09
691,10028,2890,16:38:26,17:26:44,7606,0.29,2024-03-10
541,7125,2161,17:12:25,17:48:27,5651,0.3,2024-03-12
798,10036,3060,14:43:40,15:34:41,7866,0.3,2024-03-14
801,10028,2930,16:59:07,17:47:58,7819,0.29,2024-03-18
725,10030,2974,15:51:50,16:41:29,7766,0.3,2024-03-20
806,10036,3039,15:16:02,16:06:41,7783,0.3,2024-03-22
585,10027,2892,15:55:52,16:44:04,7672,0.29,2024-03-24
810,10032,3061,14:52:00,15:43:07,7895,0.31,2024-03-27
785,10025,3082,15:46:44,16:38:05,7913,0.31,2024-03-31
803,10020,3098,14:54:51,15:46:35,7927,0.31,2024-04-05
562,7162,2144,20:10:47,20:46:32,5713,0.3,2024-04-06
717,10030,2952,18:13:35,19:02:47,7856,0.29,2024-04-07
838,10020,3206,17:02:05,17:56:06,6940,0.32,2024-04-09
841,10047,3046,17:57:35,18:48:20,6940,0.3,2024-04-14
469,7367,2147,19:03:22,19:39:11,5579,0.29,2024-04-21
648,10177,2894,17:09:30,17:57:46,7896,0.28,2024-04-23
645,10182,2872,18:39:19,19:27:13,7884,0.28,2024-04-24
452,7209,2369,19:48:43,19:44:36,5664,0.33,2024-04-26
662,10183,3064,19:45:00,20:36:05,8064,0.3,2024-04-28
598,9240,2781,19:40:30,20:36:24,7532,0.3,2024-05-03
657,10199,3017,15:25:57,16:16:16,7935,0.3,2024-05-07
652,10159,3054,18:28:58,19:19:55,7861,0.3,2024-05-09
292,9904,2174,15:09:41,15:45:58,2246,0.22,2024-05-10
466,7298,2102,20:24:31,20:59:35,5488,0.29,2024-05-12
638,10130,2989,16:40:18,17:30:08,7743,0.3,2024-05-14
320,5016,1530,17:41:39,18:07:10,3982,0.31,2024-05-15
691,9751,2934,19:29:20,20:18:16,8003,0.3,2024-05-19
654,10076,3131,15:36:22,16:28:37,8213,0.31,2024-05-22
325,5101,1529,19:12:03,19:37:34,3979,0.3,2024-05-24
628,10030,2886,16:06:44,16:54:52,7737,0.29,2024-05-26
679,10935,2976,19:17:12,20:06:50,7767,0.27,2024-05-30
700,9812,2898,18:27:02,19:15:22,7750,0.3,2024-06-02
680,10128,3000,20:04:10,20:54:12,7913,0.3,2024-06-06
637,10118,3027,14:29:58,15:20:27,7933,0.3,2024-06-09
